"","Chuska White Ware","Cibola White Ware","Coconino Buff Ware","Early White Mountain Red Ware","Little Colorado White Ware","Mesa Verde White Ware","Middle Gila Buff Ware and Gray Ware","Mimbres White Ware","Puerco Valley Red Ware","Rio Abajo White Ware","San Francisco Mountain Gray Ware","Tsegi Orange Ware","Tusayan White Ware","Upper San Juan White Ware"
"Village of the Great Kivas",0,37.6048,0,22.5827,3.1493,0,0,0,1.5663,0,0,0,0.2508,0
"Fenced Up Horse Canyon",0,4.1626,0,1.4528,0,0,0,0,0,0,0,0,0,0
"Spier 81",0,23.1626,0,21.974,0,0,0,0,0,0,0,0,0,0
"Wupatki",0,0,0,0,23.4772,0,0,0,23.0166,0,2,232.9567,212.135,0
"Lukachukai GH",0,1.736,0,0.2896,0,0,0,0,0.8498,0,0,3.8268,9.6152,0
"Antelope House",0,9.0209,0,0.7673,1.2776,5.4512,0,0,0,0,0,6.0127,237.3122,0
"White House",4.9948,21.6769,0,4.8653,1.5695,9.2082,0,0,0.3133,0,0,2.6197,50.8437,0
"Ridge Ruin",0,0,25.5,0,532.1588,0,0,0,0,0,25,224.5832,2499.8094,0
"Burnt Corn GH",0,0,0,0,0,0,0,0,0,0,0,0.4683,21.3405,0
"Morris 41",1.0797,11.7377,0,3.1171,0,87.3661,0,0,0,0,0,0.5158,0,0
"Cerro Prieto--Quemado",0,31.7894,0,0.347,0,0,0,0,0,0,0,0,0,0
"Twin Towers",25.3981,2.7102,0,2.8299,0,189.1185,0,0,0,0,0,12.4782,0.287,0
"Atsee Nitsaa",0,19.8284,0,3.4059,0.9999,0,0,0,0,0,0,0,0,0
"Cox Ranch",0,4897.6731,0,529.1846,0,0,0,0,0,0,0,0,0,0
"Largo Gap",0,653.9382,0,153.8261,0,0,0,0,0,0,0,0,0,0
"Plaza Site",0,0,0,39.588,598.5644,0,0,0,7.519,0,0,0,19.1668,0
"Dancing Rock GH",1.6717,0,0,0,0.5,0,0,0,0,0,0,0,10.3833,0
"Sterling ",0,2.921,0,0.2988,0,2.559,0,0,0,0,0,0,0,0
"Dittert Ranch",0,4.8995,0,1.8119,0,0,0,0,0,0.0789,0,0,0,0
"LA 102391",0,8.7417,0,0,0,0,0,0,0,0,0,0,0,0
"LA 11670",0,12.1693,0,2.6051,0,0,0,0,0,0.2981,0,0,0,0
"Las Ventanas",0,90.9153,0,10.2907,0,0,0,0,0,11.3817,0,0,0,0
"5 Acre Ruin",0,0,0,0.1715,0,24.9926,0,0,0,0,0,0,0,0
"Albert Porter",0,0,0,0,0,4109.6668,0,0,0,0,0,0,0,0
"Allentown",0,6.5579,0,0.2494,0,0,0,0,0,0,0,0,0,0
"Andrews",0,170.2899,0,11.2152,0,0,0,0,0,0,0,0,0,0
"Ansell Hall",0,0,0,0,0,134.3041,0,0,0,0,0,0.0588,0,0
"Arch Canyon",0,0,0,0,0,6.0377,0,0,0,0,0,0.1758,0,0
"AZ P:11:124 (ASU)",0,3.5657,0,0,0,0,0,0,0,0,0,0,8.5325,0
"AZ P:11:130 (ASU)",0,3.2276,0,0,0,0,0,0,0,0,0,0,5.7825,0
"AZ P:11:55 (ASU)",0,1.074,0,0,0,0,0,0,0,0,0,0,4.8802,0
"AZ P:11:57 (ASU)",0,3.0441,0,0,0,0,0,0,0,0,0,0,10.2533,0
"AZ P:12:105 (ASU)",0,2.2427,0,0,0,0,0,0,0,0,0,0,28.4332,0
"AZ P:12:76 (ASU)",0,1.7094,0,0,0,0,0,0,0.3227,0,0,0,16.5925,0
"AZ P:12:99 (ASU)",0,4.7547,0,0,0,0,0,0,4.1153,0,0,0,19.6135,0
"AZ P:16:160 (ASM)",0,67.3959,0,0,1.1339,0,0,0,0.2103,0,0,0,0.3449,0
"Bad Dog Ridge",0,17.0062,0,0.3623,5,0,0,0,0.9397,0,0,0,2.8346,0
"Bee Burrow",0,25.2084,0,3.9863,0,0,0,0,0,0,0,0,0,0
"Bis'saani East",42.1227,426.277,0,48.5494,0,160.5583,0,0,0,15.474,0,23.3818,6.12,0
"Bis'saani West",0.7158,73.2017,0,3.2655,0,5.5181,0,0,0,0.4242,0,0,0,0
"Black Creek Flat",0.2269,4.9938,0,0.1477,0,0.2573,0,0,0,0,0,0,0.1354,0
"Black Mesa Ruin",0,0,0,0,0,32.2926,0,0,0,0,0,5.6925,0.5074,0
"Blackrock Gaddy",0,19.7522,0,3.3197,20,0,0,0,3.4458,0,0,0,0.583,0
"Blue J",0,155.4777,0,8.208,1.4955,1.5007,0,0,0,0,0,0,0,0
"Bluewater Spring",0,625.8621,0,0.4366,0,0,0,0,0,0.7737,0,0,0,0
"Bluff Great House",6.3323,9.0851,0,3.2186,0,1027.4148,0,0,0,0,0,147.6378,239.9925,0
"Carhart Ruin",0,0,0,0,0,202.5027,0,0,0,0,0,0,0,0
"Carol's Ruin",0,0,0,0,0,11.9717,0,0,0,0,0,0,0,0
"Casa Abajo",3.0592,103.2715,0,4.898,0,0,0,0,0,0,0,0,0.3421,0
"Casa Cielo",0,75.3122,0,2.9723,0,0,0,0,0,0,0,0,0,0
"Casa del Rio",54.7317,86.6741,0,0.6758,0,0.4252,0,0,0,0,0,1.3161,0.7264,0
"Casa Escondida",4.4157,60.5498,0,12.0609,0,3.5854,0,0,0,0,0,0,0.9208,0
"Casa Estrella",0,18.8511,0,2.127,0,0,0,0,0,0.2512,0,0,0.2086,0
"Casa Negra",0,0,0,0,0,27.6778,0,0,0,0,0,0.1735,0,0
"Casa Patricio",0,10.1111,0,0.6758,0,0.9279,0,0,0,0,0,0,0,0
"Casa Rinconada",1.111,4.3116,0,0.4468,0,0.7304,0,0,0,0,0,0,0,0
"Casamero",10.954,56.3543,0,0.3531,0,0,0,0,0,0,0,0,0,0
"Cerro Pomo",0,343.9798,0,43.766,0,0,0,0,0,0,0,0,0,0
"Chaco East",1.4289,54.0111,0,3.2819,0.166,1.1809,0,0,0,0,0,1.0468,0.9215,0
"Chacra Mesa Great Kiva",3.7056,47.5326,0,2.773,0,17.9391,0,0,0,0,0,1.1841,0,0
"Chambers Great House",0,19.3239,0,0.1751,1.2255,0,0,0,1.4436,0,0,0,0.1535,0
"Chetro Ketl",36.7862,232.1177,0,1.826,10.4644,46.558,0,0,0,0.5829,0,1.3687,14.6652,0
"Chimney Rock",0.3181,16.5454,0,0.2672,0,111.5512,0,0,0,0,0,1.5928,0,14.6
"Church Rock",0.5989,14.1386,0,0,0,0,0,0,0,0,0,0,0,0
"Cline Point",0,716.3224,0,0.7378,13.4565,0,0,0,0.6621,0,0,0,11.4132,0
"Coalbed Village",0,0,0,0,0,22.7193,0,0,0,0,0,0,0,0
"Coolidge",0,17.8066,0,2.7137,0,0,0,0,0,0,0,0,0,0
"Cothruns",0,532.5449,0,0.9843,38.4234,0,0.1746,0,7.3847,0,0,0.2188,30.3803,0
"Cottonwood Falls",0,0,0,0,0,227.5179,0,0,0,0,0,1.5447,0,0
"Coyotes Sing Here",0,43.2942,0,0.7559,0,0,0,0,0,0,0,0,0,0
"CS219",0,0.1451,0,0,9.5,0,0,0,0,0,0,0,1.1664,0
"CS689",0,7.1598,0,0,12.0376,0,0,0,0,0,0,0,5.7455,0
"Cuatro Payasos",24.0453,84.1009,0,2.3954,0,2.3877,0,0,0,0,0,0.1408,0.3415,0
"Dalton Pass",0,30.1863,0,1.9736,0,0,0,0,0,0,0,0,0,0
"Deer Springs",1.7295,45.9682,0,3.65,0.1575,0.6073,0,0,0,0,0,0,0.6577,0
"Dzil Nda Kai",0,13.5378,0,0.546,0,0,0,0,0,0,0,0,0.5858,0
"Edge of the Cedars",1.2515,3.4835,0,0,0,835.7982,0,0,0,0,0,54.5611,57.1384,0
"El Malpais",21.4264,1.6186,0,0.8078,0,35.8421,0,0,0,0,0,2.7178,1.518,0
"El Rito",0,7.9196,0,0.0782,0,0,0,0,0,0,0,0.0509,0,0
"Escalon A",12.8145,69.2321,0,0,0,0,0,0,0,0,0,0.79,0,0
"Escalon B",1.2685,5.0454,0,0,0,0,0,0,0,0,0,0,0.6162,0
"Et Al Site",0,0,0,0,0,91.7418,0,0,0,0,0,9.4747,16.148,0
"Fajada Gap Great Kiva",1.284,4.7849,0,0,0,0,0,0,0,0,0,0,0,0
"Figueredo",2.913,43.7937,0,1.5062,0,0,0,0,0,0,0,0,0.1495,0
"Ganado",0.3888,89.4964,0,0,0.484,0.7703,0,0,0,0,0,0,49.4546,0
"Greasy Hill",0,13.7539,0,0.437,0,0,0,0,0,0,0,0,0,0
"Great Bend House A",7.3997,4.6991,0,0,0,0.6959,0,0,0,0,0,0,0,0
"Great Bend House B",0.6277,16.1749,0,0.968,0,0,0,0,0,0,0,0.9838,0.6342,0
"Great Bend West",0.5661,4.4781,0,0,0,0,0,0,0,0,0,0,0.1997,0
"Greenlee",2.1597,7.545,0,0.8816,0,0.4825,0,0,0,0.2918,0,0,0,0
"Grey Hill Spring",4.7939,93.2005,0,10.002,3.0191,0,0,0,0,0,0,0,0,0
"Grey Ridge",0,6.2345,0,5.0072,0,0,0,0,0,0,0,0,0,0
"Guadalupe",0,380.532,0,8.4745,0,0,0,0,0,9.672,0,0,0,0
"H Spear",0,176.6068,0,19.2808,0,0,0,0,0,0,0,0,0,0
"Halfway House",0,12.9288,0,0,0,3.308,0,0,0,0,0,0,0,0
"Hampton",0.5661,0,0,0,0,48.2672,0,0,0,0,0,0,0,0
"Hartman Draw",0,0,0,0,0,51.1082,0,0,0,0,0,0,0,0
"Haynie Ruin",0,0,0,0,0,180.9747,0,0,0,0,0,0,0,0
"Haystack",0.3538,39.422,0,3.2023,0,0,0,0,0,2.3485,0,0.4821,0,0
"Hedley Ruin",0,0,0,0,0,995.8094,0,0,0,0,0,0,0,0
"Hogback",19.2196,12.9625,0,0,0,2.6457,0,0,0,0,0,0,0.7498,0
"Houck",0,199.6913,0,32.1152,0,0,0,0,0,0,0,0,11.8533,0
"Hough's Great Kiva",0,683.2619,0,1.8341,8.4801,0,0.3704,0,4.8584,0,0,0,50.685,0
"House of the Giant Midden",21.6664,2.3343,0,3.9935,0,0,0,0,0,0,0,0,1.0565,0
"Hurley Site",0,5.4058,0,0,0,0,0,0,0,0.2869,0,0,0,0
"Iyanbito Great Kiva",0,9.3248,0,4.0757,0,0,0,0,0,0,0,0,0,0
"Kearn's Site",0,0,0,0,0,92.4744,0,0,0,0,0,0,0,0
"Kin Bineola",18.3187,207.2015,0,4.1795,1.0362,0.8333,0,0,0,0,0,0,11.9914,0
"Kin Cheops I",0,117.9033,0,32.1743,0,0,0,0,0,0.7381,0,0,0,0
"Kin Hochoi",0,93.0053,0,4.9263,0,0,0,0,0,0,0,0,0.1664,0
"Kin Indian Ruin",0.5396,29.2502,0,0.4021,0,1.4802,0,0,0,0,0,0,0,0
"Kin Klizhin",1.3732,82.5213,0,4.3383,0,2.7929,0,0,0,0,0,0,0.8852,0
"Kin Nahasbas",26.4226,422.9456,0,7.5092,0.5101,8.1366,0,0,0,0.7549,0,1.2948,3.8485,0
"Kin Sani",0,137.9712,0,1.2832,0,0.3932,0,0,0,0,0,0,0,0
"Kin Tliish",0.5661,54.0798,0,12.7036,0,4.5344,0,0,0,0,0,0,0.2791,0
"Kin Ya'a",0,153.8883,0,1.105,0,0.6931,0,0,0,0,0,0,0,0
"LA 100280",1,3.5048,0,1.4078,0,0,0,0,0,0,0,0,0,0
"LA 115436",0,20.7592,0,24.3532,0,0,0,0,0,0,0,0,0,0
"LA 12573 A",0,22.713,0,1,0,0,0,0,0,0,0,0,0,0
"LA 126862",0.5422,29.2314,0,0,0,0,0,0,0,0,0,0,0,0
"LA 17226",0,7.7199,0,0,0,1,0,0,0,0,0,0,0,0
"LA 47526",0,17.9401,0,2.9421,0.5648,0,0,0,0,0,0,0,0,0
"LA 60006",1,1.4175,0,0.3805,0,2.1576,0,0,0,0,0,0,0.1229,0
"LA 60022",0.4293,1.9167,0,0.3631,0,10.9703,0,0,0,0,0,0,0.2487,0
"LA 67158",0,8.7874,0,0,0,0,0,0,0,0,0,0,0,0
"LA 7603",11.4542,0,0,0,0,0.3449,0,0,0,0,0,0,0,0
"LA 8244",28.2285,2.3343,0,0,0,0.9768,0,0,0,0,0,0.4829,0,0
"Lake Valley",9.1031,10.8967,0,2.283,0,0.1535,0,0,0,0,0,0,0.423,0
"Lancaster",0,1.2608,0,0,0,207.3228,0,0,0,0,0,0,0,0
"Los Veteados Great Kiva",0,11.3073,0,0.445,0,0,0,0,0,1.7511,0,0,0,0
"Lower Greenlee",0,18.4229,0,0.5306,0,1.142,0,0,0,0,0,0.5306,0,0
"Lower Kin Nizhoni",0,8.8957,0,0,0,0,0,0,0,0,0,0,0,0
"Lowry",0,0,0,9.9654,0,376.9625,0,0,0,0,0,4.4338,102,0
"McCreery",0,76.8825,0,0.1552,98.5967,0,0,0,40.6772,0,0,0,34.3435,0
"Mesa Tierra",0,3.5519,0,4.1173,0,1.4979,0,0,0,0,0,0,0,0
"Mineral Creek",0,47.3439,0,6.4605,0,0,0,0,0,0,0,0,0,0
"Mitchell Springs",0,3.0154,0,0,0,94.7137,0,0,0,0,0,0,0,0
"Mitten Rock",142.8209,2.0677,0,0,0,8.0369,0,0,0,0,0,6.4256,2.0016,0
"Montezuma Village North",0,0,0,0,0,157.606,0,0,0,0,0,0.4926,0.1366,0
"Muddy Water",0,20.8052,0,0,0,0,0,0,0,0.1935,0,0,0,0
"NA 8800",0,0,0,0,14.1177,0,0,0,0,0,0,103.6295,320.8106,0
"Navajo Springs",0,107.315,0,2.5391,2.7717,0,0,0,1.1808,0,0,0,7.5649,0
"North Lowry",0,0,0,0,0,49.1189,0,0,0,0,0,0,0,0
"Oak Wash--Zuni",0,172.701,0,1.8928,0,0,0,0,0,0,0,0,0,0
"Owen Site",0,0,0,0,0,84.8764,0,0,0,0,0,25.3023,47.4767,0
"Padilla Well",9.7634,227.3915,0,4.7507,0,0,0,0,0.8241,0,0,0.6041,0.8664,0
"Peach Springs",1.791,24.9643,0,1.017,0,0,0,0,0,0,0,0,0,0
"Penasco Blanco",10.9436,97.429,0,0,0.4904,1.1377,0,0,0,0,0,0.2562,1.8702,0
"Pierre's El Faro",2.7735,46.5495,0,0,0,2.2585,0,0,0,0,0,0,0,0
"Pierre's House A",5.1755,7.5392,0,1.2625,0,2.1449,0,0,0,0,0,0,0,0
"Pierre's House B/C",6.1801,10.0351,0,1.9083,0,1.9758,0,0,0,0,0,0,0,0
"Point Pueblo",10.2549,0.7785,0,0.6616,0,15.7337,0,0,0,0,0,0,0,0
"Pueblo Alto",678.4557,7386.7349,0,0,0,0,0,0,0,0.1073,0,0,116.1733,0
"Pueblo Bonito",16.8943,183.9972,0,1.9963,0,3.0355,0,0,0,0,0,2.1584,10.5192,0
"Pueblo Cerrito",0,16.8329,0,2.9174,0,0,0,0,0,3.9491,0,0,0,0
"Pueblo del Arroyo",6.8377,32.4478,0,2.7065,0.4582,2.5325,0,0,0,0,0,0.1721,0,0
"Ram Mesa",0,30.7047,0,0.4866,0,0,0,0,0,0,0,0,0,0
"Red Knobs",0,0,0,0,0,170.2053,0,0,0,0,0,2.1818,0.4172,0
"Red Willow",0,8.4844,0,0,0,0.0825,0,0,0,0,0,0,1.3323,0
"Reservoir--Northern San Juan",0.5572,1.0461,0,0,0,86.8638,0,0,0,0,0,0,0.2837,0
"San Mateo",0,22.3654,0,1.2326,0,0,0,0,0,0,0,0,0,0
"Sanders GH",0,1180.1984,0,4.1461,5.8713,0,0,0,8.2061,0,0,0,56.6148,0
"Sanostee",25.7341,13.4734,0,0.3852,0,2.6075,0,0,0,0,0,0,0,0
"Skull Site",0,48.3818,0,2.0184,0,0,0,0,0,6.4803,0,0,0.1664,0
"Springstead",0.3935,14.8508,0,1.4575,0,0,0,0,0,0,0,0,0,0
"Squaw Springs",0,0,0,0,0,12.7959,0,0,0,0,0,0,0.5,0
"Standing Rock",0.2704,72.7981,0,1.6295,0.9478,3.3554,0,0,0,0,0,0,0,0
"Sundown",0,110.7227,0,2.7743,249.3932,0,0,0,65.7767,0,0,0.5449,79.8559,0
"Teec Nos Pos",10.206,0,0,0,0,14.431,0,0,0,0,0,1.2637,3.7284,0
"The Twins Northeast",0,64.5969,0,2.2281,0.4715,0,0,0,0,0,0,0,0,0
"Tla Kii",0,101.8295,0,2.9693,0.3997,0,0,0,2.3714,0,0,0,0.2434,0
"Tocito North",79.0245,3.1806,0,2.0345,0,0.5502,0,0,0,0,0,1.3475,4.0117,0
"Tocito South",11.1274,9.2266,0,3.2965,0,0,0,0,0,0,0,1.8133,0.1642,0
"Toh La Kai",0,82.8547,0,10.1938,0.3456,7.1347,0,0,0,0,0,0,0,0
"Toyee",0,97.4075,0,0.4439,0.2808,0,0,0,0.5012,0,0,0.0186,11.705,0
"Tse Bee Kintsoh",0,7.5673,0,0,0,0,0,0,0,0,0,0.865,0,0
"Tse La Vie",4.5721,154.1456,0,15.0613,0,0.6248,0,0,0,0.578,0,2.8072,0.3425,0
"Tse Lichii",0,13.946,0,1.4317,0,1.8657,0,0,0,0.0806,0,0,0.6314,0
"Tseyatoh",0,10.3588,0,2.6923,0,0,0,0,0,0,0,0,2.3534,0
"Tsin Kletzin",0.3254,26.4157,0,0.8914,0,0,0,0,0,0,0,0.2526,2.1036,0
"Una Vida",38.4043,927.0636,0,10.9286,2.044,19.3186,0,0,0,1.2988,0,3.1279,17.0572,0
"Upper Kin Klizhin",5.5556,406.4942,0,7.1945,0,3.6256,0,0,0,0,0,0,4.1254,0
"Vidal Canyon",0,20.6089,0,0.3566,0,0,0,0,0,0,0,0,0,0
"Wallace Ruin",0,73.2039,0,10.3937,0,3663.5022,0,0,0,0.0528,0,12.7767,3.1725,0
"Whirlwind House",2.6886,11.7752,0,0.7222,0,0,0,0,0,0,0,0,0,0
"Wolye Adin",0,56.4362,0,2.8455,0,0,0,0,0,0,0,0,0.583,0
"Yellow Jacket",0,1.9758,0,2.2195,0,3147.0528,0,0,0,0,0,3.0358,0,0
"Escalante GH",0,0.9475,0,2.5454,0,741.0362,0,0,0,0,0,16.3009,4.8277,0
"LA 40082",1.6765,45.4413,0,0,0,1.6092,0,0,0,0,0,0,0,0
"LA 103458",0,17.6122,0,0.384,0,0,0,0,0,0,0,0,0,0
"AZ-P-52-8-NN",0,3.3467,0,5.8439,3,0,0,0,0,0,0,0,0.1664,0
"Cerritos de Jaspe GK",0,8.7006,0,0.8466,0,0,0,0,0,2.3093,0,0,0,0
"HST Great Kiva",0,0,0,0,0,50.3473,0,0,0,0,0,8.1354,6.0185,0
"Kin Bineola Great Kiva 2",0,13.4971,0,0,0,0,0,0,0,0,0,0,0,0
"Haystack Great Kiva 2",0,8,0,0,0,0,0,0,0,0,0,0,0,0
"NA 8013",0,571.2956,0,9.5507,3.0725,0.9638,0,0,0,0,0,0,40.8202,0
"NA 8014",0,48.0372,0,0,0,0,0,0,0,0,0,0.9542,6.4567,0
"Whites Canyon Pueblo",0,0,0,0,0,78.4543,0,0,0,0,0,0,0,0
"34-plex Complex",0,0,0,0,0,60.249,0,0,0,0,0,0,0,0
"Upper Battleship Rock Pueblo",0,0,0,0,0,83.8474,0,0,0,0,0,0,0,0
"Gillentine Site",1,0.6157,0,0.2111,0,5.1359,0,0,0,0,0,0,0,0
"San Juan Biwall",0,0,0,0,0,5.9704,0,0,0,0,0,0,0,0
"Shields Pueblo",0,0,0,0,0,15799.1569,0,0,0,0,0,0,0,0
"Bowman Site East",0,17.2671,0,0.3335,0,0.1659,0,0,0,0,0,0,0.2141,0
"Dye Wash",0,12.7725,0,0.6158,0,0,0,0,0,0,0,0,0.5838,0
